12개월누적수익률(퍼센트),1개월누적수익률(퍼센트),3개월누적수익률(퍼센트),6개월누적수익률(퍼센트),상품명,선취수수료(퍼센트),운용사명,총보수(퍼센트),펀드등급,펀드유형
"7.46","3.19","0.81","2.39","마이다스아시아리더스성장주UH(주식)CP1","0.0000","마이다스에셋자산운용","1.810",2,"주식형"
"8.04","3.23","0.95","2.66","마이다스아시아리더스성장주UH(주식)CPe1","0.0000","마이다스에셋자산운용","1.270",2,"주식형"
"5.49","1.73","2.57","3.42","마이다스단기국공채공모주[채혼]Ae","0.3000","마이다스에셋자산운용","0.505",5,"채권혼합형"
"18.59","4.85","6.75","2.48","마이다스블루칩배당A1","1.0000","마이다스에셋자산운용","1.600",2,"주식형"
"19.74","5.44","7.43","3.25","마이다스블루칩배당Ae","0.5000","마이다스에셋자산운용","1.150",2,"주식형"
"18.73","5.35","7.17","2.89","마이다스블루칩배당C1","0.0000","마이다스에셋자산운용","2.200",2,"주식형"
"19.68","5.44","7.42","3.22","마이다스블루칩배당Ce","0.0000","마이다스에셋자산운용","1.200",2,"주식형"
"18.62","4.81","6.72","2.47","마이다스블루칩배당C-P1","0.0000","마이다스에셋자산운용","1.540",2,"주식형"
"19.78","5.44","7.44","3.26","마이다스블루칩배당C-Pe1","0.0000","마이다스에셋자산운용","1.120",2,"주식형"
"0.00","0.00","0.00","0.00","마이다스블루칩배당C-W","0.0000","마이다스에셋자산운용","0.700",2,"주식형"
"0.00","0.74","0.84","0.00","마이다스거북이90(주식)A","1.0000","마이다스에셋자산운용","1.310",4,"주식형"
"0.00","0.77","0.93","0.00","마이다스거북이90(주식)Ae","0.5000","마이다스에셋자산운용","0.950",4,"주식형"
"0.00","0.68","0.64","0.00","마이다스거북이90(주식)C1","0.0000","마이다스에셋자산운용","2.090",4,"주식형"
"0.00","0.76","0.90","0.00","마이다스거북이90(주식)Ce","0.0000","마이다스에셋자산운용","1.080",4,"주식형"
"0.00","0.74","0.00","0.00","마이다스거북이90(주식)C-P1","0.0000","마이다스에셋자산운용","1.430",4,"주식형"
"0.00","0.76","0.91","0.00","마이다스거북이90(주식)C-Pe1","0.0000","마이다스에셋자산운용","1.010",4,"주식형"
"0.00","0.80","1.02","0.00","마이다스거북이90(주식)C-W","0.0000","마이다스에셋자산운용","0.590",4,"주식형"
"24.89","7.63","5.75","10.94","미래에셋인디아솔로몬1호(주식)A","1.0000","미래에셋자산운용","1.850",2,"주식형"
"38.85","6.61","11.82","11.97","미래에셋브라질1호A(주식)","1.0000","미래에셋자산운용","1.850",1,"주식형"
"38.53","6.60","11.76","11.84","미래에셋브라질1호Ce(주식)","0.0000","미래에셋자산운용","2.090",1,"주식형"
"10.83","2.90","7.30","6.58","미래에셋골드특별자산(금-재간접형)A","0.8000","미래에셋자산운용","0.780",3,"특별자산투자"
"10.40","2.87","7.20","6.38","미래에셋골드특별자산C(금-재간접형)","0.0000","미래에셋자산운용","1.180",3,"특별자산투자"
"11.26","2.93","7.41","6.79","미래에셋골드특별자산C-e(금-재간접형)","0.0000","미래에셋자산운용","0.380",3,"특별자산투자"
"25.06","5.40","14.00","9.16","미래에셋글로벌그레이트컨슈머A","1.0000","미래에셋자산운용","1.590",2,"주식형"
"24.21","5.34","13.81","8.79","미래에셋글로벌그레이트컨슈머C1","0.0000","미래에셋자산운용","2.290",2,"주식형"
"25.43","5.43","14.08","9.32","미래에셋글로벌그레이트컨슈머Ce","0.0000","미래에셋자산운용","1.290",2,"주식형"
"15.51","3.39","6.74","5.41","미래에셋배당프리미엄A(주식혼합)","1.0000","미래에셋자산운용","0.960",3,"주식혼합형"
"14.92","3.35","6.60","5.14","미래에셋배당프리미엄C(주식혼합)","0.0000","미래에셋자산운용","1.480",3,"주식혼합형"
"15.48","3.39","6.73","5.39","미래에셋배당프리미엄Ce(주혼)","0.0000","미래에셋자산운용","0.990",3,"주식혼합형"
"24.89","5.40","13.97","9.11","미래에셋그레이트컨슈머연금(주식C","0.0000","미래에셋자산운용","1.730",2,"주식형"
"4.49","2.84","3.99","2.71","미래에셋글로벌다이나믹연금(채권)C","0.0000","미래에셋자산운용","0.720",5,"채권형"
"13.13","3.41","6.80","5.53","미래에셋배당프리미엄Ae(주식혼합)","0.5000","미래에셋자산운용","0.730",3,"주식혼합형"
"-7.54","-0.27","-6.50","2.18","로저스COMMODITY인덱스C-W","0.0000","미래에셋자산운용","0.590",2,"특별자산투자"
"-3.60","-0.33","-3.77","-4.08","미래에셋로저스농산물지수특별자산C-W","0.0000","미래에셋자산운용","0.590",2,"특별자산투자"
"26.04","5.47","14.21","9.59","미래에셋글로벌그레이트컨슈머F","0.0000","미래에셋자산운용","0.790",2,"주식형"
"16.04","3.43","6.86","5.65","미래에셋배당프리미엄(주식혼합)C-F","0.0000","미래에셋자산운용","0.500",3,"주식혼합형"
"0.00","0.00","0.00","0.00","미래에셋골드특별자산(재간접)C-w","0.0000","미래에셋자산운용","0.280",3,"특별자산투자"
"25.79","7.69","5.94","11.34","미래에셋인디아솔로몬1호(주식)I","0.0050","미래에셋자산운용","1.105",2,"주식형"
"25.37","7.66","5.85","11.16","미래에셋인디아솔로몬1호(주식)Ae","0.5000","미래에셋자산운용","1.450",2,"주식형"
"25.48","5.44","14.10","9.37","미래에셋그레이트컨슈머연금(주식Ce","0.0000","미래에셋자산운용","1.230",2,"주식형"
"4.70","2.86","4.04","2.81","미래에셋글로벌다이나믹연금(채권)Ce","0.0000","미래에셋자산운용","0.520",5,"채권형"
"14.99","3.35","6.61","5.17","미래에셋배당프리미엄연금저축(주식혼합)C","0.0000","미래에셋자산운용","1.380",3,"주식혼합형"
"15.50","3.38","6.73","5.40","미래에셋배당프리미엄연금저축(주식혼합)Ce","0.0000","미래에셋자산운용","0.930",3,"주식혼합형"
"17.99","3.07","7.17","7.32","미래에셋미국배당프리미엄A(주식)(H)","1.0000","미래에셋자산운용","1.360",3,"주식형"
"18.40","3.10","7.26","7.50","미래에셋미국배당프리미엄A-e(주식)(H)","0.5000","미래에셋자산운용","1.010",3,"주식형"
"17.41","3.03","7.03","7.05","미래에셋미국배당프리미엄C1(주식)(H)","0.0000","미래에셋자산운용","1.860",3,"주식형"
"18.23","3.09","7.23","7.43","미래에셋미국배당프리미엄C-e(주식)(H)","0.0000","미래에셋자산운용","1.150",3,"주식형"
